product_code,date,general_stars,softens_the_hair_stars,formulation_stars,scent_stars,key_words,text,number_of_likes
GA230819992,20240724,5,5,5,5,,"Very good for scalp , it is refreshing and it smells good.",0
GA230819992,20240724,5,5,5,5,"Hair Type: Frizzy 
Hair Concern: Anti-Frizz,Damage Repair,Hair Growth",very refreshing love the smell ,0
GA230819992,20240723,5,4,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Balancing ,Damage Repair,Hydrating","Repurchased because I really like the scent and that it makes my scalp feels more comfortable. My scalp does greese fast though, as my scalp is oily and sweats easily",0
GA230819992,20240722,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Anti-Frizz,Color Protection,Damage Repair","Fresh, liquid, non greasy and easy to split. I&rsquo;ve been using different products for hair loss and this is the first one that I actually like using. It is refreshing. But I have to use it longer to see more results though. For now I&rsquo;m liking it very much. The shampoo is one of my favorites too.",0
GA230819992,20240722,5,3,5,4,"Hair Type: Frizzy 
Hair Concern: Anti-Dandruff,Anti-Frizz,Damage Repair",This really helped my scalp to get rid of any buildup and my hair has grown a lot after using.,0
GA230819992,20240721,5,5,5,5,,Very good! Not sticky and nice lly absorbed.,0
GA230819992,20240720,4,4,4,3,"Hair Type: Colored
Hair Concern: Anti-Frizz","ボリュームはふわっとあがりますね。香りは少し強めですが季節柄かえって使用しやすいもしれません☺
プラスワンもスプレー部分交換で再使用、気分上がりますね〜",0
GA230819992,20240715,4,3,5,3,,Like how they make my scalp feels so refreshing!!,0
GA230819992,20240713,5,4,5,3,,"You need to be careful where you spray your hair, it&rsquo;s strong but works really well. The smell isn&rsquo;t the best but I love the minty feeling on my scalp and it does its job.",0
GA230819992,20240713,5,3,5,4,"Hair Type: Fine 
Hair Concern: Thickening ",This is my third order and use this everyday ,0
GA230819992,20240712,5,5,5,5,"Hair Type: Hair loss
Hair Concern: Balancing ,Scalp Treatment ,Thickening ","This feels so fresh i love it and it helps with hair loss 💗
I have repurchased soooo many times  ",0
GA230819992,20240712,4,5,5,4,"Hair Type: Fine 
Hair Concern: Thickening ,Volumizing,Hair Growth","Good to use right after washing hair, spray and rub in or dilute!",0
GA230819992,20240712,5,5,5,5,"Hair Type: Dry 
Hair Concern: Damage Repair,Hair Growth","Great smell, very relaxing
Hard to apply a little bit. Roller much better
",0
GA230819992,20240711,5,3,5,4,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Hydrating,Scalp Treatment ",I&rsquo;ve repurchased this scalp tonic multiple times. It definitely helped my scalp and hair root improvement. I can see hairs became thicker and stronger. ,0
GA230819992,20240710,4,4,4,4,,good scalp treatment for oily hair,0
GA230819992,20240709,5,5,5,5,"Hair Type: Weakened 
Hair Concern: Anti-Frizz,Scalp Treatment ,Thickening ","Have been using this for some time and after application, less hair fall off when I blow dry my hair. It also smells and feel refreshing when applied. It is a product that I have incorporated into my hair care routine.",0
GA230819992,20240709,4,4,4,5,Hair Type: Fine ,"This is a pretty decent product and cools down my scalp, but it is too small. ",0
GA230819992,20240708,4,5,5,5,,رائحة منعشة و خفيف على فروة الرأس ، الرائحة الغالبة هي رائحة الليمون و النعناع ,0
GA230819992,20240708,5,5,5,5,"Hair Type: Colored
Hair Concern: Balancing ,Anti-Frizz,Anti-Dandruff",お気に入りのヘアトナーを再入荷しました。 2 パックの方が 1 ピースボトルよりもお得です。私の頭皮はこの製品をとても気に入っています。,0
GA230819992,20240707,3,1,4,4,,"I&rsquo;ve only been using this for 2 months and not as consistent as I should, so far I wouldn&rsquo;t say I can see much of a difference. ",0
GA230819992,20240707,5,5,5,5,"Hair Type: Thinning 
Hair Concern: Hair Growth,Hydrating,Scalp Treatment ",I have some bald sides in my hair but after using this my hair started growing and it feels so nice too. ,0
GA230819992,20240706,5,4,5,5,"Hair Type: Dry 
Hair Concern: Anti-Dandruff,Anti-Frizz,Balancing ","So refreshing on the scalp, really helps with itchiness and smells so good! one of my holy grails i keep returning to",0
GA230819992,20240705,5,5,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Frizz,Hydrating,Purifying ",Spraying this on your scalp after a shower gives such an instant relaxing and cooling sensation. I have noticed a lot less hair fallout since using this product.,0
GA230819992,20240704,5,5,5,4,,"I love this spray, it can be multi use. I use it on my roots after I shower or I can use it as touch up for frizzy hair to reset it. The formula doesn&rsquo;t add grease or weigh down the hair. ",0
GA230819992,20240704,5,4,4,4,"Hair Type: Hair loss
Hair Concern: Anti-Dandruff,Anti-Frizz,Damage Repair",Smells good and feels very refreshing to the scalp. ,0
GA230819992,20240703,5,5,5,5,"Hair Type: Fine 
Hair Concern: Anti-Frizz,Hair Growth,Hydrating",Really helped with growing my hair!!,0
GA230819992,20240703,5,4,5,5,"Hair Type: Colored
Hair Concern: Anti-Dandruff,Anti-Frizz,Color Protection",Second time purchasing and I can really tell a difference in my hair. This product makes it grow so fast,0
GA230819992,20240702,5,4,5,5,"Hair Type: Curly & Wavy 
Hair Concern: Anti-Dandruff,Hair Growth,Scalp Treatment ",Can tangle a little but really efficient ,0
GA230819992,20240702,5,4,5,5,"Hair Type: Fine 
Hair Concern: Hair Growth,Heat Protection,Damage Repair","I haven&#39;t noticed a big difference when it comes to hair loss, but it has make my hair grow slightly faster",0
GA230819992,20240701,5,3,4,4,"Hair Type: Dry 
Hair Concern: Anti-Dandruff,Hair Growth",bought it for my friends. She loves this product and has gone through many bottles ,0
